,device,hidden_size,index_in_row,losses,n_batches,time,time_delta,time_delta_seconds,time_last
0,CPU,128,0.0,5.544853210449219,1,2019-06-21 13:22:47.712704,,,
1,CPU,128,1.0,5.544168472290039,1,2019-06-21 13:22:50.212251,0 days 00:00:02.499547000,2.499547,2019-06-21 13:22:47.712704
2,CPU,128,2.0,5.543473720550537,1,2019-06-21 13:22:52.700275,0 days 00:00:02.488024000,2.488024,2019-06-21 13:22:50.212251
3,CPU,128,3.0,5.542736530303955,1,2019-06-21 13:22:55.172457,0 days 00:00:02.472182000,2.472182,2019-06-21 13:22:52.700275
4,CPU,128,4.0,5.541954040527344,1,2019-06-21 13:22:57.638142,0 days 00:00:02.465685000,2.465685,2019-06-21 13:22:55.172457
5,CPU,128,5.0,5.541113376617432,1,2019-06-21 13:23:00.133249,0 days 00:00:02.495107000,2.495107,2019-06-21 13:22:57.638142
6,CPU,128,6.0,5.540211200714111,1,2019-06-21 13:23:02.644480,0 days 00:00:02.511231000,2.511231,2019-06-21 13:23:00.133249
7,CPU,128,7.0,5.5392279624938965,1,2019-06-21 13:23:05.155314,0 days 00:00:02.510834000,2.510834,2019-06-21 13:23:02.644480
8,CPU,128,8.0,5.538154125213623,1,2019-06-21 13:23:07.673924,0 days 00:00:02.518610000,2.51861,2019-06-21 13:23:05.155314
9,CPU,128,9.0,5.536972522735596,1,2019-06-21 13:23:10.139294,0 days 00:00:02.465370000,2.46537,2019-06-21 13:23:07.673924
10,CPU,128,10.0,5.5356574058532715,1,2019-06-21 13:23:12.678366,0 days 00:00:02.539072000,2.539072,2019-06-21 13:23:10.139294
11,CPU,128,11.0,5.534179210662842,1,2019-06-21 13:23:15.189073,0 days 00:00:02.510707000,2.510707,2019-06-21 13:23:12.678366
12,CPU,128,12.0,5.532503128051758,1,2019-06-21 13:23:17.725620,0 days 00:00:02.536547000,2.536547,2019-06-21 13:23:15.189073
13,CPU,128,13.0,5.530573844909668,1,2019-06-21 13:23:20.210536,0 days 00:00:02.484916000,2.484916,2019-06-21 13:23:17.725620
14,CPU,128,14.0,5.528326988220215,1,2019-06-21 13:23:22.685046,0 days 00:00:02.474510000,2.47451,2019-06-21 13:23:20.210536
15,CPU,128,15.0,5.525659084320068,1,2019-06-21 13:23:25.201008,0 days 00:00:02.515962000,2.515962,2019-06-21 13:23:22.685046
16,CPU,128,16.0,5.522433280944824,1,2019-06-21 13:23:27.684002,0 days 00:00:02.482994000,2.482994,2019-06-21 13:23:25.201008
17,CPU,128,17.0,5.518430709838867,1,2019-06-21 13:23:30.248234,0 days 00:00:02.564232000,2.564232,2019-06-21 13:23:27.684002
18,CPU,128,18.0,5.513306617736816,1,2019-06-21 13:23:32.751546,0 days 00:00:02.503312000,2.503312,2019-06-21 13:23:30.248234
19,CPU,128,19.0,5.506486892700195,1,2019-06-21 13:23:35.220239,0 days 00:00:02.468693000,2.468693,2019-06-21 13:23:32.751546
20,CPU,128,20.0,5.496896266937256,1,2019-06-21 13:23:37.719279,0 days 00:00:02.499040000,2.49904,2019-06-21 13:23:35.220239
21,CPU,128,21.0,5.482222557067871,1,2019-06-21 13:23:40.125924,0 days 00:00:02.406645000,2.406645,2019-06-21 13:23:37.719279
22,CPU,128,22.0,5.456056594848633,1,2019-06-21 13:23:42.575768,0 days 00:00:02.449844000,2.449844,2019-06-21 13:23:40.125924
23,CPU,128,23.0,5.39039945602417,1,2019-06-21 13:23:45.061614,0 days 00:00:02.485846000,2.485846,2019-06-21 13:23:42.575768
24,CPU,128,24.0,5.320191383361816,1,2019-06-21 13:23:47.549810,0 days 00:00:02.488196000,2.488196,2019-06-21 13:23:45.061614
25,CPU,128,25.0,5.299126148223877,1,2019-06-21 13:23:50.032884,0 days 00:00:02.483074000,2.483074,2019-06-21 13:23:47.549810
26,CPU,128,26.0,5.2880353927612305,1,2019-06-21 13:23:52.516596,0 days 00:00:02.483712000,2.483712,2019-06-21 13:23:50.032884
27,CPU,128,27.0,5.278959274291992,1,2019-06-21 13:23:55.003482,0 days 00:00:02.486886000,2.486886,2019-06-21 13:23:52.516596
28,CPU,128,28.0,5.270728588104248,1,2019-06-21 13:23:57.500603,0 days 00:00:02.497121000,2.497121,2019-06-21 13:23:55.003482
29,CPU,128,29.0,5.263261795043945,1,2019-06-21 13:23:59.984761,0 days 00:00:02.484158000,2.484158,2019-06-21 13:23:57.500603
30,CPU,128,30.0,5.256631374359131,1,2019-06-21 13:24:02.466275,0 days 00:00:02.481514000,2.481514,2019-06-21 13:23:59.984761
31,CPU,128,31.0,5.25071907043457,1,2019-06-21 13:24:04.911016,0 days 00:00:02.444741000,2.444741,2019-06-21 13:24:02.466275
32,CPU,128,32.0,5.2453179359436035,1,2019-06-21 13:24:07.373197,0 days 00:00:02.462181000,2.462181,2019-06-21 13:24:04.911016
33,CPU,128,33.0,5.240477561950684,1,2019-06-21 13:24:09.833203,0 days 00:00:02.460006000,2.460006,2019-06-21 13:24:07.373197
34,CPU,128,34.0,5.236123085021973,1,2019-06-21 13:24:12.323971,0 days 00:00:02.490768000,2.490768,2019-06-21 13:24:09.833203
35,CPU,128,35.0,5.232168674468994,1,2019-06-21 13:24:14.873729,0 days 00:00:02.549758000,2.549758,2019-06-21 13:24:12.323971
36,CPU,128,36.0,5.228656768798828,1,2019-06-21 13:24:17.387809,0 days 00:00:02.514080000,2.51408,2019-06-21 13:24:14.873729
37,CPU,128,37.0,5.2255988121032715,1,2019-06-21 13:24:19.908099,0 days 00:00:02.520290000,2.52029,2019-06-21 13:24:17.387809
38,CPU,128,38.0,5.2231011390686035,1,2019-06-21 13:24:22.383272,0 days 00:00:02.475173000,2.475173,2019-06-21 13:24:19.908099
39,CPU,128,39.0,5.221251487731934,1,2019-06-21 13:24:24.827390,0 days 00:00:02.444118000,2.444118,2019-06-21 13:24:22.383272
